date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:08	57/57	---M--	200	added ('OK')	application/javascript	etag:%226740aafc-39%22	https://www.bg87.com/iiwi960gsPlugin/js/load960grid16.js	~Desktop/bg%20bg%20bg/www.bg87.com/iiwi960gsPlugin/js/load960grid16.js	(from https://www.bg87.com/)
18:32:11	167575/167575	---M--	200	added ('OK')	image/png	etag:%226740aafd-28e97%22	https://www.bg87.com/images/design/lion.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/lion.png	(from https://www.bg87.com/)
18:32:11	1130536/1130536	---M--	200	added ('OK')	image/png	etag:%226740aafc-114028%22	https://www.bg87.com/images/design/background_top.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/background_top.png	(from https://www.bg87.com/)
18:32:11	6815/6815	---M--	200	added ('OK')	image/png	etag:%226740aafc-1a9f%22	https://www.bg87.com/images/design/bande-lion.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/bande-lion.png	(from https://www.bg87.com/)
18:32:13	103479/103479	---M--	200	added ('OK')	image/png	etag:%226740aafd-19437%22	https://www.bg87.com/images/design/logoBG.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/logoBG.png	(from https://www.bg87.com/)
18:32:14	11165/11165	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:13%20GMT	https://www.bg87.com/demande-password	~Desktop/bg%20bg%20bg/www.bg87.com/demande-password.html	(from https://www.bg87.com/)
18:32:15	11141/11141	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:14%20GMT	https://www.bg87.com/demande-pseudo	~Desktop/bg%20bg%20bg/www.bg87.com/demande-pseudo.html	(from https://www.bg87.com/)
18:32:16	16386/16386	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:15%20GMT	https://www.bg87.com/historique	~Desktop/bg%20bg%20bg/www.bg87.com/historique.html	(from https://www.bg87.com/)
18:32:17	22127/22127	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:16%20GMT	https://www.bg87.com/calendrier	~Desktop/bg%20bg%20bg/www.bg87.com/calendrier.html	(from https://www.bg87.com/)
18:32:17	5258/5258	---MC-	401	error ('Unauthorized')	text/html	date:Mon,%2010%20Feb%202025%2017:32:17%20GMT	https://www.bg87.com/stand	~Desktop/bg%20bg%20bg/www.bg87.com/stand.20.delayed	(from https://www.bg87.com/)
18:32:18	5258/5258	---MC-	401	error ('Unauthorized')	text/html	date:Mon,%2010%20Feb%202025%2017:32:18%20GMT	https://www.bg87.com/forums	~Desktop/bg%20bg%20bg/www.bg87.com/forums.21.delayed	(from https://www.bg87.com/)
18:32:20	6411/6411	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:19%20GMT	https://www.bg87.com/symp/info	~Desktop/bg%20bg%20bg/www.bg87.com/symp/info.html	(from https://www.bg87.com/)
18:32:20	5686/5686	---M--	200	added ('OK')	image/png	etag:%226740aafd-1636%22	https://www.bg87.com/images/design/sympat.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/sympat.png	(from https://www.bg87.com/)
18:32:22	5843/5843	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:21%20GMT	https://www.bg87.com/card-lost/info	~Desktop/bg%20bg%20bg/www.bg87.com/card-lost/info.html	(from https://www.bg87.com/)
18:32:22	2005/2005	---M--	200	added ('OK')	image/png	etag:%226740aafd-7d5%22	https://www.bg87.com/images/design/lostCard.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/lostCard.png	(from https://www.bg87.com/)
18:32:24	6117/6117	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:23%20GMT	https://www.bg87.com/contact	~Desktop/bg%20bg%20bg/www.bg87.com/contact.html	(from https://www.bg87.com/)
18:32:24	1540/1540	---M--	200	added ('OK')	image/png	etag:%226740aafc-604%22	https://www.bg87.com/images/design/contact-us.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/contact-us.png	(from https://www.bg87.com/)
18:32:26	43607/43607	---M--	200	added ('OK')	image/png	etag:%226740aafd-aa57%22	https://www.bg87.com/images/design/logo_facebook.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/logo_facebook.png	(from https://www.bg87.com/)
18:32:26	6769/6769	---M--	200	added ('OK')	image/png	etag:%226740aafd-1a71%22	https://www.bg87.com/images/design/logo_x.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/logo_x.png	(from https://www.bg87.com/)
18:32:28	46593/46593	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2017:32:27%20GMT	https://www.bg87.com/medias/show/1609	~Desktop/bg%20bg%20bg/www.bg87.com/medias/show/1609.png	(from https://www.bg87.com/)
18:32:29	66940/66940	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202025%2017:32:28%20GMT	https://www.bg87.com/medias/show/1623	~Desktop/bg%20bg%20bg/www.bg87.com/medias/show/1623.png	(from https://www.bg87.com/)
18:32:30	6294/6294	---MC-	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:32:29%20GMT	https://www.bg87.com/docs	~Desktop/bg%20bg%20bg/www.bg87.com/docs.html	(from https://www.bg87.com/)
18:32:30	979/979	---M--	200	added ('OK')	image/png	etag:%226740aafd-3d3%22	https://www.bg87.com/images/design/pdf.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/pdf.png	(from https://www.bg87.com/)
18:32:31	7812/7812	---M--	200	added ('OK')	image/png	etag:%226740aafd-1e84%22	https://www.bg87.com/images/randomFooter/footer_logo3.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/randomFooter/footer_logo3.png	(from https://www.bg87.com/)
18:32:32	6370/6370	---M--	200	added ('OK')	image/png	etag:%226740aafd-18e2%22	https://www.bg87.com/images/randomFooter/footer_logo6.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/randomFooter/footer_logo6.png	(from https://www.bg87.com/)
18:32:34	44199/44199	---M--	200	added ('OK')	image/jpeg	etag:%226740aafd-aca7%22	https://www.bg87.com/images/design/texture_background.jpg	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/texture_background.jpg	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:34	43011/43011	---M--	200	added ('OK')	image/png	etag:%226740aafc-a803%22	https://www.bg87.com/images/design/header.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/header.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:32:36	189644/189644	---M--	200	added ('OK')	image/png	etag:%226740aafc-2e4cc%22	https://www.bg87.com/images/design/header2.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/header2.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
